epoch,acc,loss,lr,val_acc,val_loss
0,0.01834097542815926,4.011050140425382,0.0005,0.02337228714524207,4.007189050938729
1,0.015423092955398083,4.006971427826843,0.0005,0.02337228714524207,4.007621258049457
2,0.022509378907878283,3.9811233754652946,0.0005,0.01001669449081803,3.9695643447277345
3,0.035431429805880835,3.9361450466427916,0.0005,0.035058430717863104,3.960064749884884
4,0.04210087536473531,3.8602405472962547,0.0005,0.04006677796327212,3.832167878970877
5,0.04751979991663193,3.7701274768269624,0.0005,0.025041736301675263,3.7916877313527917
6,0.04877032098880953,3.6959245459344694,0.0005,0.03338898171069029,3.686779615676065
7,0.04751979991663193,3.652750971318285,0.0005,0.04006677803790231,3.620530912991557
8,0.050854522736433296,3.5924300872171457,0.0005,0.045075125283311326,3.5740240531692122
9,0.0596081701143427,3.5498530412525273,0.0005,0.04340567620150832,3.552835689761205
10,0.06461025427261359,3.489229477858136,0.0005,0.05509181977412936,3.46223870740709
11,0.05877448937057107,3.4539436846785168,0.0005,0.04340567620150832,3.421877770272639
12,0.0633597332221759,3.4240111213467825,0.0005,0.07345575967396241,3.3706791731272396
13,0.07753230512713631,3.4026321741678953,0.0005,0.06343906518314438,3.40549965852091
14,0.08378491040106464,3.3620472242554906,0.0005,0.0684474124285534,3.3624387444160218
15,0.07336390164431159,3.359622115937806,0.0005,0.08681135232838645,3.330772878331613
16,0.07669862444858444,3.3270809110774255,0.0005,0.07512520875576542,3.3569947753804357
17,0.08670279287382582,3.3050793723893097,0.0005,0.09181969957379546,3.2990363165611813
18,0.08003334722801167,3.302328598404885,0.0005,0.08848080141018945,3.3325591895337494
19,0.09837432265617094,3.2714696835855386,0.0005,0.08681135232838645,3.286368095815082
20,0.09712380160262754,3.255056271010411,0.0005,0.07011686143572621,3.329269384899999
21,0.09837432263443101,3.2191937615743225,0.0005,0.08514190324658344,3.277638240728235
22,0.11171321383909963,3.204298100803434,0.0005,0.08514190324658344,3.221519893716293
23,0.10754481038112051,3.1957366784546166,0.0005,0.09849749590100748,3.204043142783622
24,0.10295956652951568,3.1664417479722986,0.0005,0.09849749582637729,3.241747536125884
25,0.10045852442864033,3.1613929349216336,0.0005,0.11185308848080133,3.200938074736046
26,0.10462692790525364,3.1385920118321575,0.0005,0.09015025041736227,3.232233955784513
27,0.12546894543739398,3.104834361789921,0.0005,0.10350584307178631,3.267311835328804
28,0.12213422263622681,3.1055248583689883,0.0005,0.09015025041736227,3.194704103549454
29,0.12213422259274698,3.0765806964756597,0.0005,0.11018363947362853,3.114146239769479
30,0.12171738232956075,3.0731501123119065,0.0005,0.09348914858096828,3.2078988790910112
31,0.12880366823856113,3.042968087913892,0.0005,0.11686143572621036,3.1238825249552526
32,0.14255939981200985,3.0364412571699133,0.0005,0.12353923212805255,3.137771766452439
